Link,Title,Year,Genre,Duration
https://www.imdb.com/title/tt2119532/,Hacksaw Ridge ,2016,Biography,2h 19min
https://www.imdb.com/title/tt2267998/,Gone Girl ,2014,Drama,2h 29min
https://www.imdb.com/title/tt0978762/,Mary and Max ,2009,Animation,1h 32min
https://www.imdb.com/title/tt0118715/,The Big Lebowski ,1998,Comedy,1h 57min
https://www.imdb.com/title/tt0116231/,The Bandit ,1996,Crime,2h 8min
https://www.imdb.com/title/tt0107207/,In the Name of the Father ,1993,Biography,2h 13min
https://www.imdb.com/title/tt4729430/,Klaus ,2019,Animation,1h 36min
https://www.imdb.com/title/tt8108198/,Andhadhun ,2018,Crime,2h 19min
https://www.imdb.com/title/tt1205489/,Gran Torino ,2008,Drama,1h 56min
https://www.imdb.com/title/tt0353969/,Memories of Murder ,2003,Action,2h 12min
https://www.imdb.com/title/tt0046438/,Tokyo Story ,1953,Drama,2h 16min
https://www.imdb.com/title/tt3011894/,Wild Tales ,2014,Comedy,2h 2min
https://www.imdb.com/title/tt0077416/,The Deer Hunter ,1978,Drama,3h 3min
https://www.imdb.com/title/tt0047296/,On the Waterfront ,1954,Crime,1h 48min
https://www.imdb.com/title/tt0041959/,The Third Man ,1949,Film-Noir,1h 33min
https://www.imdb.com/title/tt0079944/,Stalker ,1979,Drama,2h 42min
https://www.imdb.com/title/tt0266697/,Kill Bill: Vol. 1 ,2003,Action,1h 51min
https://www.imdb.com/title/tt0050212/,The Bridge on the River Kwai ,1957,Adventure,2h 41min
https://www.imdb.com/title/tt0120382/,The Truman Show ,1998,Comedy,1h 43min
https://www.imdb.com/title/tt3170832/,Room ,2015,Drama,1h 58min
https://www.imdb.com/title/tt0116282/,Fargo ,1996,Crime,1h 38min
https://www.imdb.com/title/tt0266543/,Finding Nemo ,2003,Animation,1h 40min
https://www.imdb.com/title/tt0083658/,Blade Runner ,1982,Action,1h 57min
https://www.imdb.com/title/tt0031381/,Gone with the Wind ,1939,Drama,3h 58min
https://www.imdb.com/title/tt0084787/,The Thing ,1982,Horror,1h 49min
https://www.imdb.com/title/tt0050986/,Wild Strawberries ,1957,Drama,1h 31min
https://www.imdb.com/title/tt0107290/,Jurassic Park ,1993,Action,2h 7min
https://www.imdb.com/title/tt0167404/,The Sixth Sense ,1999,Drama,1h 47min
https://www.imdb.com/title/tt1291584/,Warrior ,2011,Action,2h 20min
https://www.imdb.com/title/tt0080678/,The Elephant Man ,1980,Biography,2h 4min
https://www.imdb.com/title/tt0117951/,Trainspotting ,1996,Drama,1h 33min
https://www.imdb.com/title/tt2096673/,Inside Out ,2015,Animation,1h 35min
https://www.imdb.com/title/tt0434409/,V for Vendetta ,2005,Action,2h 12min
https://www.imdb.com/title/tt1130884/,Shutter Island ,2010,Mystery,2h 18min
https://www.imdb.com/title/tt0050976/,The Seventh Seal ,1957,Drama,1h 36min
https://www.imdb.com/title/tt0477348/,No Country for Old Men ,2007,Crime,2h 2min
https://www.imdb.com/title/tt0071315/,Chinatown ,1974,Drama,2h 10min
https://www.imdb.com/title/tt0046912/,Dial M for Murder ,1954,Crime,1h 45min
https://www.imdb.com/title/tt0015864/,The Gold Rush ,1925,Adventure,1h 35min
https://www.imdb.com/title/tt0476735/,My Father and My Son ,2005,Drama,1h 52min
https://www.imdb.com/title/tt0055031/,Judgment at Nuremberg ,1961,Drama,2h 59min
https://www.imdb.com/title/tt5027774/,"Three Billboards Outside Ebbing, Missouri ",2017,Comedy,1h 55min
https://www.imdb.com/title/tt0120735/,"Lock, Stock and Two Smoking Barrels ",1998,Action,1h 47min
https://www.imdb.com/title/tt0081398/,Raging Bull ,1980,Biography,2h 9min
https://www.imdb.com/title/tt0096283/,My Neighbor Totoro ,1988,Animation,1h 26min
https://www.imdb.com/title/tt0469494/,There Will Be Blood ,2007,Drama,2h 38min
https://www.imdb.com/title/tt1305806/,The Secret in Their Eyes ,2009,Drama,2h 9min
https://www.imdb.com/title/tt0040897/,The Treasure of the Sierra Madre ,1948,Adventure,2h 6min
https://www.imdb.com/title/tt0042192/,All About Eve ,1950,Drama,2h 18min
https://www.imdb.com/title/tt0993846/,The Wolf of Wall Street ,2013,Biography,3h
https://www.imdb.com/title/tt0268978/,A Beautiful Mind ,2001,Biography,2h 15min
https://www.imdb.com/title/tt0112641/,Casino ,1995,Crime,2h 58min
https://www.imdb.com/title/tt0347149/,Howl's Moving Castle ,2004,Animation,1h 59min
https://www.imdb.com/title/tt0457430/,Pan's Labyrinth ,2006,Drama,1h 58min
https://www.imdb.com/title/tt0057115/,The Great Escape ,1963,Adventure,2h 52min
https://www.imdb.com/title/tt6966692/,Green Book ,2018,Biography,2h 10min
https://www.imdb.com/title/tt0053291/,Some Like It Hot ,1959,Comedy,2h 1min
https://www.imdb.com/title/tt0118849/,Children of Heaven ,1997,Drama,1h 29min
https://www.imdb.com/title/tt0363163/,Downfall ,2004,Biography,2h 36min
https://www.imdb.com/title/tt0089881/,Ran ,1985,Action,2h 42min
https://www.imdb.com/title/tt0105695/,Unforgiven ,1992,Drama,2h 10min
https://www.imdb.com/title/tt0042876/,Rashomon ,1950,Crime,1h 28min
https://www.imdb.com/title/tt0372784/,Batman Begins ,2005,Action,2h 20min
https://www.imdb.com/title/tt0055630/,Yojimbo ,1961,Action,1h 50min
https://www.imdb.com/title/tt0113277/,Heat ,1995,Crime,2h 50min
https://www.imdb.com/title/tt0095016/,Die Hard ,1988,Action,2h 12min
https://www.imdb.com/title/tt0071853/,Monty Python and the Holy Grail ,1975,Adventure,1h 31min
https://www.imdb.com/title/tt0097576/,Indiana Jones and the Last Crusade ,1989,Action,2h 7min
https://www.imdb.com/title/tt1049413/,Up ,2009,Animation,1h 36min
https://www.imdb.com/title/tt0119488/,L.A. Confidential ,1997,Crime,2h 18min
https://www.imdb.com/title/tt0036775/,Double Indemnity ,1944,Crime,1h 47min
https://www.imdb.com/title/tt0056592/,To Kill a Mockingbird ,1962,Crime,2h 9min
https://www.imdb.com/title/tt0091251/,Come and See ,1985,Drama,2h 22min
https://www.imdb.com/title/tt1255953/,Incendies ,2010,Drama,2h 11min
https://www.imdb.com/title/tt0059578/,For a Few Dollars More ,1965,Western,2h 12min
https://www.imdb.com/title/tt0017136/,Metropolis ,1927,Drama,2h 33min
https://www.imdb.com/title/tt0066763/,Anand ,1971,Drama,2h 2min
https://www.imdb.com/title/tt0053604/,The Apartment ,1960,Comedy,2h 5min
https://www.imdb.com/title/tt0044741/,Ikiru ,1952,Drama,2h 23min
https://www.imdb.com/title/tt1832382/,A Separation ,2011,Drama,2h 3min
https://www.imdb.com/title/tt0070735/,The Sting ,1973,Comedy,2h 9min
https://www.imdb.com/title/tt0075314/,Taxi Driver ,1976,Crime,1h 54min
https://www.imdb.com/title/tt0211915/,Amélie ,2001,Comedy,2h 2min
https://www.imdb.com/title/tt0435761/,Toy Story 3 ,2010,Animation,1h 43min
https://www.imdb.com/title/tt0045152/,Singin' in the Rain ,1952,Comedy,1h 43min
https://www.imdb.com/title/tt0086250/,Scarface ,1983,Crime,2h 50min
https://www.imdb.com/title/tt0056172/,Lawrence of Arabia ,1962,Adventure,3h 48min
https://www.imdb.com/title/tt0012349/,The Kid ,1921,Comedy,1h 8min
https://www.imdb.com/title/tt0040522/,Bicycle Thieves ,1948,Drama,1h 29min
https://www.imdb.com/title/tt0208092/,Snatch ,2000,Comedy,1h 42min
https://www.imdb.com/title/tt0066921/,A Clockwork Orange ,1971,Crime,2h 16min
https://www.imdb.com/title/tt0093058/,Full Metal Jacket ,1987,Drama,1h 56min
https://www.imdb.com/title/tt0033467/,Citizen Kane ,1941,Drama,1h 59min
https://www.imdb.com/title/tt0053125/,North by Northwest ,1959,Adventure,2h 16min
https://www.imdb.com/title/tt0338013/,Eternal Sunshine of the Spotless Mind ,2004,Drama,1h 48min
https://www.imdb.com/title/tt2106476/,The Hunt ,2012,Drama,1h 55min
https://www.imdb.com/title/tt0062622/,2001: A Space Odyssey ,1968,Adventure,2h 29min
https://www.imdb.com/title/tt0052357/,Vertigo ,1958,Mystery,2h 8min
https://www.imdb.com/title/tt5074352/,Dangal ,2016,Action,2h 41min
https://www.imdb.com/title/tt0180093/,Requiem for a Dream ,2000,Drama,1h 42min
https://www.imdb.com/title/tt8579674/,1917 ,2019,Drama,1h 59min
https://www.imdb.com/title/tt8267604/,Capernaum ,2018,Drama,2h 6min
https://www.imdb.com/title/tt0105236/,Reservoir Dogs ,1992,Crime,1h 39min
https://www.imdb.com/title/tt0119217/,Good Will Hunting ,1997,Drama,2h 6min
https://www.imdb.com/title/tt0086190/,Star Wars: Episode VI - Return of the Jedi ,1983,Action,2h 11min
https://www.imdb.com/title/tt0022100/,M ,1931,Crime,1h 39min
https://www.imdb.com/title/tt0986264/,Like Stars on Earth ,2007,Drama,2h 45min
https://www.imdb.com/title/tt0361748/,Inglourious Basterds ,2009,Adventure,2h 33min
https://www.imdb.com/title/tt0057565/,High and Low ,1963,Crime,2h 23min
https://www.imdb.com/title/tt0086879/,Amadeus ,1984,Biography,2h 40min
https://www.imdb.com/title/tt0114709/,Toy Story ,1995,Animation,1h 21min
https://www.imdb.com/title/tt5311514/,Your Name. ,2016,Animation,1h 46min
https://www.imdb.com/title/tt0169547/,American Beauty ,1999,Drama,2h 2min
https://www.imdb.com/title/tt1187043/,3 Idiots ,2009,Comedy,2h 50min
https://www.imdb.com/title/tt0112573/,Braveheart ,1995,Biography,2h 58min
https://www.imdb.com/title/tt0082096/,Das Boot ,1981,Adventure,2h 29min
https://www.imdb.com/title/tt2380307/,Coco ,2017,Animation,1h 45min
https://www.imdb.com/title/tt0090605/,Aliens ,1986,Action,2h 17min
https://www.imdb.com/title/tt0087843/,Once Upon a Time in America ,1984,Crime,3h 49min
https://www.imdb.com/title/tt0364569/,Oldboy ,2003,Action,2h
https://www.imdb.com/title/tt0051201/,Witness for the Prosecution ,1957,Crime,1h 56min
https://www.imdb.com/title/tt0057012/,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1964,Comedy,1h 35min
https://www.imdb.com/title/tt1345836/,The Dark Knight Rises ,2012,Action,2h 44min
https://www.imdb.com/title/tt4154796/,Avengers: Endgame ,2019,Action,3h 1min
https://www.imdb.com/title/tt0043014/,Sunset Blvd. ,1950,Drama,1h 50min
https://www.imdb.com/title/tt0119698/,Princess Mononoke ,1997,Animation,2h 14min
https://www.imdb.com/title/tt4633694/,Spider-Man: Into the Spider-Verse ,2018,Animation,1h 57min
https://www.imdb.com/title/tt0405094/,The Lives of Others ,2006,Drama,2h 17min
https://www.imdb.com/title/tt0910970/,WALL·E ,2008,Animation,1h 38min
https://www.imdb.com/title/tt4154756/,Avengers: Infinity War ,2018,Action,2h 29min
